year_month,category,total_sales,total_profit,total_quantity,order_count
2018-04,Clothing,13478,-184,251,62
2018-04,Electronics,11127,-351,75,22
2018-04,Furniture,8121,-3425,63,17
2018-05,Clothing,9518,-267,233,71
2018-05,Electronics,12807,-2523,116,29
2018-05,Furniture,6220,-794,74,18
2018-06,Clothing,8782,-2036,235,62
2018-06,Electronics,9344,-2078,82,25
2018-06,Furniture,5532,-856,52,14
2018-07,Clothing,2981,-48,142,38
2018-07,Electronics,6502,-1633,40,12
2018-07,Furniture,3483,-457,58,14
2018-08,Clothing,11822,-1075,276,75
2018-08,Electronics,9539,-1548,98,24
2018-08,Furniture,9538,443,72,21
2018-09,Clothing,10717,-1585,192,51
2018-09,Electronics,7207,-910,56,14
2018-09,Furniture,8704,-2468,83,18
2018-10,Clothing,11488,2148,284,71
2018-10,Electronics,13361,2261,85,20
2018-10,Furniture,6766,-1316,50,15
2018-11,Clothing,16270,3736,380,110
2018-11,Electronics,16651,3938,105,25
2018-11,Furniture,15165,3945,93,24
2018-12,Clothing,9545,1901,259,68
2018-12,Electronics,18560,3196,110,27
2018-12,Furniture,9474,187,43,16
2019-01,Clothing,13466,1691,436,110
2019-01,Electronics,26716,4785,164,44
2019-01,Furniture,21257,3284,145,38
2019-02,Clothing,9569,1822,312,85
2019-02,Electronics,12593,1927,82,27
2019-02,Furniture,16262,2168,118,28
2019-03,Clothing,21418,5060,516,146
2019-03,Electronics,20860,3430,141,39
2019-03,Furniture,16659,1587,94,20
