ds,yhat,yhat_lower,yhat_upper
2018-04-01,32725.998515845054,32725.998511742102,32725.99851988466
2018-05-01,28545.003043846773,28545.003039509098,28545.003048080183
2018-06-01,23657.994278330178,23657.99427445091,23657.994282261418
2018-07-01,12966.005650453837,12966.005646491381,12966.005654879395
2018-08-01,30898.995006647416,30898.995002594653,30898.99501051992
2018-09-01,26628.00326922463,26628.00326499273,26628.00327337069
2018-10-01,31614.999546380524,31614.999542080273,31614.999550573193
2018-11-01,48085.99567275278,48085.99566887496,48085.9956771295
2018-12-01,37579.00842024899,37579.00841614707,37579.00842446011
2019-01-01,61438.98891909775,61438.98891512526,61438.988923226534
2019-02-01,38424.010554007786,38424.01054954046,38424.01055792273
2019-03-01,58936.99586588915,58936.9958617993,58936.995869835
2019-04-01,71748.34206368841,71744.93690715393,71751.75145211235
2019-05-01,95068.58187079385,95055.14475000737,95081.94593609293
2019-06-01,63632.841858470456,63616.32168572007,63648.98136984992
2019-07-01,36039.97661884541,36025.56375555233,36054.42654196699
2019-08-01,62871.13228600247,62837.1022621001,62905.66658891842
2019-09-01,51234.236571761016,51200.185122319606,51271.59129359791
2019-10-01,83084.34035173588,83016.8053488181,83160.10122898158
2019-11-01,87376.80824880645,87292.21959478418,87471.16201957985
2019-12-01,67084.73701538525,67011.97831377883,67169.12516817635
2020-01-01,131679.02583874212,131517.55812918712,131868.5882234448
2020-02-01,14005.77100512666,13986.823842840191,14028.462566418066
2020-03-01,-134685.17556095426,-134926.95963572065,-134486.5164557191
